"Criterios (una letra por columna): CORRECTA = explica la decision del motor (la clase), no otra cosa; ANCLADA = solo cita hechos de la alerta (origen, activo, servicio, regla, rafaga): nada inventado ni de otro caso; COHERENTE = no contradice la clase ni el motivo real (origen declarado, exposicion, rafaga). Respuesta: s / n. Comentario libre en la ultima columna."
n;id_alerta;regla;familia;origen;activo;servicio;verdad;clase_motor;justificador;pasajes;justificacion;CORRECTA (s/n);ANCLADA (s/n);COHERENTE (s/n);comentario
1;1788194885.702564;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
2;1788194890.703041;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
3;1788194898.703518;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
4;1788194902.703995;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
5;1788194910.704472;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
6;1788194914.704949;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
7;1788194920.705426;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
8;1788194924.705903;5763;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mitre-T1021 mapeo-acceso_credenciales mitre-T1110;La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó acceder al servicio SSH en el activo objetivo-vuln utilizando una técnica de brute force (MITRE T1110), lo que podría indicar un intento de acceso no autorizado.;;;;
9;1788194932.707158;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
10;1788194936.707635;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
