"Una fila por decision que el sistema te pasaria a ti. Lee la columna lo_que_ve_el_analista como si te saliera en la terminal durante el turno. DECISION = aprobar / rechazar / reclasificar (lo que harias tu); CLASE_NUEVA = solo si reclasificas: la clase correcta; PREGUNTAR_BIEN = s si hizo bien en pedirte validacion en vez de actuar solo, n si podia haberlo hecho sin ti; INFO_SUFICIENTE = s si con lo mostrado pudiste decidir, n si te falto algo (di que en el comentario)."
n;id_alerta;lo_que_ve_el_analista;DECISION;CLASE_NUEVA;PREGUNTAR_BIEN (s/n);INFO_SUFICIENTE (s/n);comentario
1;1789139257.859829;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.1  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 0.6
Técnica MITRE: T1110.001
Justificación: Alerta 5503 (técnica T1110.001) desde 192.168.1.1 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 20 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a borde (dispositivo de red: equipo de borde: enruta la LAN hacia el proveedor) · sube de localizado a alcanza_servicio: un dispositivo de red puede cortar todo lo que enruta
Acción final: BLOQUEAR_IP";;;;;
2;1789139382.874333;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.10  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 1.0
Técnica MITRE: T1110.001, T1021.004
Justificación: Alerta 5710 (técnica T1110.001, T1021.004) desde 192.168.1.10 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 40 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a puesto (activo interno: puesto de trabajo de un empleado) · 0 servicios detenidos
Acción final: BLOQUEAR_IP";;;;;
3;1788194932.707158;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.10  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 1.0
Técnica MITRE: T1110.001, T1021.004
Justificación: Alerta 5760 (técnica T1110.001, T1021.004) desde 192.168.1.10 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 10 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a puesto (activo interno: puesto de trabajo de un empleado) · 0 servicios detenidos
Acción final: BLOQUEAR_IP";;;;;
4;1789139213.847356;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.1  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 0.6
Técnica MITRE: T1110.001
Justificación: Alerta 5503 (técnica T1110.001) desde 192.168.1.1 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 20 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a borde (dispositivo de red: equipo de borde: enruta la LAN hacia el proveedor) · sube de localizado a alcanza_servicio: un dispositivo de red puede cortar todo lo que enruta
Acción final: BLOQUEAR_IP";;;;;
5;1789139217.848426;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.1  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 0.6
Técnica MITRE: T1110.001, T1021.004
Justificación: Alerta 5760 (técnica T1110.001, T1021.004) desde 192.168.1.1 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 20 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a borde (dispositivo de red: equipo de borde: enruta la LAN hacia el proveedor) · sube de localizado a alcanza_servicio: un dispositivo de red puede cortar todo lo que enruta
Acción final: BLOQUEAR_IP";;;;;
6;1789139215.847886;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.10  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 1.0
Técnica MITRE: T1110.001
Justificación: Alerta 5503 (técnica T1110.001) desde 192.168.1.10 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más). Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a puesto (activo interno: puesto de trabajo de un empleado) · 0 servicios detenidos
Acción final: BLOQUEAR_IP";;;;;
7;1789139219.848901;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.10  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 1.0
Técnica MITRE: T1110.001, T1021.004
Justificación: Alerta 5760 (técnica T1110.001, T1021.004) desde 192.168.1.10 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más). Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a puesto (activo interno: puesto de trabajo de un empleado) · 0 servicios detenidos
Acción final: BLOQUEAR_IP";;;;;
8;1789139424.883891;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.10  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 1.0
Técnica MITRE: T1110.001, T1021.004
Justificación: Alerta 5710 (técnica T1110.001, T1021.004) desde 192.168.1.10 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 26 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a puesto (activo interno: puesto de trabajo de un empleado) · 0 servicios detenidos
Acción final: BLOQUEAR_IP";;;;;
9;1789139255.858583;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.1  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 0.6
Técnica MITRE: T1110
Justificación: Alerta 5763 (técnica T1110) desde 192.168.1.1 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 20 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a borde (dispositivo de red: equipo de borde: enruta la LAN hacia el proveedor) · sube de localizado a alcanza_servicio: un dispositivo de red puede cortar todo lo que enruta
Acción final: BLOQUEAR_IP";;;;;
10;1789139253.856918;"── Validación humana requerida ──
Activo: objetivo-vuln  ·  Origen: 192.168.1.1  ·  Servicio: ssh
Clase: vp_intento_acceso  ·  Prioridad: 3  ·  Confianza: 0.6
Técnica MITRE: T1110
Justificación: Alerta 5551 (técnica T1110) desde 192.168.1.1 contra objetivo-vuln (ssh). el auditor confirma que ssh está expuesto en objetivo-vuln (el activo también expone: X11, ajp13, ccproxy-ftp, ftp y 11 más); ráfaga de 20 alertas del mismo origen en un minuto. Clasificada como vp_intento_acceso. [justificación de plantilla — baseline, no modelo]
Acción sugerida: BLOQUEAR_IP  ·  Impacto: localizado  ·  Filtro: veta
Consecuencia: bloquea a borde (dispositivo de red: equipo de borde: enruta la LAN hacia el proveedor) · sube de localizado a alcanza_servicio: un dispositivo de red puede cortar todo lo que enruta
Acción final: BLOQUEAR_IP";;;;;
